hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_apartments,current_apartments,total_number_apartments,number_rental_rooms,avg._no._r/r_per_apartment,population_-_section_8_transition,population_-_public_housing,total_population,households_on_fixed_income,%_households_on_fixed_income,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room,avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005000580,058,058,534,534,NY005220E,CARVER,FEDERAL,CONVENTIONAL,NEW CONST,,"1,244","1,246","5,761.0",4.63,0,"2,586","2,586",502,41.0%,13,0,13,6-15,"637,132",14.63,"594,887",13.66,"97,568","10,275,141",15.31%,177,"$24,155,000","$4,145",$590,E 99TH ST PARK AVE MADISON AVE E 106TH ST,MANHATTAN,11,13,30,68,08,2/14/1958,1978/07/01-ATP 3,,,
NY005021340,134,134,446,446,NY005372,CHELSEA,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,68,425,425,"1,914.5",4.50,177,733,910,181,43.0%,2,0,4,21,"74,488",1.71,"74,488",1.71,"18,557","3,689,065",24.91%,532,"$8,776,000","$4,584",$583,W 25TH ST W 26TH ST NINTH AVE,MANHATTAN,4,10,27,75,03,5/31/1964,,,,
NY005011340,176,134,451,451,NY005361,CHELSEA ADDITION,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,96,96,336.0,3.50,0,114,114,88,92.6%,1,0,1,14,"44,921",1.03,"44,921",1.03,"14,475","1,021,739",32.22%,111,"$2,402,000","$7,149",$337,CHELSEA PARK W 26TH ST TENTH AVE,MANHATTAN,4,10,31,75,03,4/30/1968,1995/07/13-PTA,EXCLUSIVELY,,
NY005001230,123,123,245,245,NY005045,CLINTON,FEDERAL,CONVENTIONAL,NEW CONST,,748,749,"3,523.0",4.71,0,"1,720","1,720",330,45.0%,6,2,8,9-18,"243,770",5.60,"232,673",5.34,"51,879","6,740,935",21.28%,307,"$16,774,779","$4,756",$529,"PARK & LEX AVES E 104TH,106TH STS E 108TH ST E 110TH ST",MANHATTAN,11,13,30,68,08,10/31/1965,,,,
NY005010640,199,064,359,219,NY005149,CORSI HOUSES,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,171,171,512.5,3.00,0,186,186,144,86.7%,1,0,1,16,"32,004",0.73,"32,004",0.73,"20,446","1,361,650",63.89%,255,"$6,600,521","$11,882",$303,E 116TH ST E 117TH ST FIRST AVE SECOND AVE,MANHATTAN,11,13,29,68,08,11/30/1973,,EXCLUSIVELY,,
NY005011270,155,127,265,259,NY005066,DE HOSTOS APARTMENTS,FEDERAL,CONVENTIONAL,NEW CONST,,219,223,953.5,4.35,0,453,453,87,40.7%,1,0,1,22,"32,690",0.75,"32,690",0.75,"10,319","1,794,597",31.57%,604,"$4,044,899","$4,130",$532,AMSTERDAM AVE W 93RD ST BROADWAY W 94TH ST,MANHATTAN,7,10,30,69,06,3/28/1969,,,,
NY005010820,148,082,569,569,NY005244B,DOUGLASS ADDITION,FEDERAL,CONVENTIONAL,NEW CONST,,135,135,667.5,4.94,0,337,337,50,37.0%,1,0,1,16,"23,957",0.55,"23,957",0.55,"8,884","1,289,500",37.08%,613,"$3,783,000","$5,667",$600,W 102ND ST W 103RD ST AMSTERDAM AVE,MANHATTAN,7,10,30,69,07,6/30/1965,1979/08/01-ATP 4,,,
NY005010820,082,082,569,569,NY005244B,DOUGLASS I,FEDERAL,CONVENTIONAL,NEW CONST,,"1,302","1,305","5,806.0",4.46,0,"2,651","2,651",543,42.0%,11,0,11,5-9-12-17-20,"533,018",12.24,"533,018",12.24,"94,508","10,999,163",17.73%,217,"$22,701,754","$3,933",$549,W 104TH ST MANHATTAN AVE W 100TH ST COLUMBUS AVE,MANHATTAN,7,13,30,69,07,9/25/1958,1979/08/01-ATP 4,,,
NY005010820,582,082,569,569,NY005244B,DOUGLASS II,FEDERAL,CONVENTIONAL,NEW CONST,,752,753,"3,463.0",4.61,0,"1,589","1,589",307,41.0%,6,0,6,9-12-17-18-20,"414,973",9.53,"330,232",7.58,"44,044","6,568,578",10.61%,167,"$14,739,246","$4,277",$589,W 104TH ST COLUMBUS AVE W 100TH ST AMSTERDAM AVE,MANHATTAN,7,13,30,69,07,9/25/1958,1979/08/01-ATP 4,,,
NY005021110,111,111,434,434,NY005373,DREW-HAMILTON,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,278,"1,211","1,217","5,344.5",4.41,631,"2,169","2,800",474,40.0%,5,0,5,21,"312,188",7.17,"292,159",6.71,"74,433","9,889,060",23.84%,391,"$25,146,000","$4,687",$482,W 141ST ST W 144TH ST POWELL BLVD DOUGLASS BLVD,MANHATTAN,10,13,30,70,09,9/30/1965,,,,
NY005000410,041,041,373,373,NY005183A,DYCKMAN,FEDERAL,CONVENTIONAL,NEW CONST,,"1,167","1,167","5,054.5",4.33,0,"2,270","2,270",532,45.9%,7,1,8,14,"613,884",14.09,"570,318",13.09,"80,457","9,780,114",13.11%,161,"$14,202,915","$2,812",$543,DYCKMAN ST NAGLE AVE W 204TH ST TENTH AVE,MANHATTAN,12,13,31,72,10,4/25/1951,1972/06/29-FED TRAN,,,
NY005010090,009,009,207,207,NY005005,EAST RIVER,FEDERAL,CONVENTIONAL,NEW CONST,,"1,156","1,170","4,846.0",4.19,0,"2,284","2,284",470,41.7%,10,1,30,6-10-11,"512,822",11.77,"466,607",10.71,"112,140","7,963,515",21.87%,194,"$5,304,700","$1,086",$466,FIRST AVE FDR DRIVE E 102ND ST E 105TH ST,MANHATTAN,11,13,30,68,08,5/20/1941,,,,
NY005011340,015,134,367,367,NY005181C,ELLIOTT,FEDERAL,CONVENTIONAL,NEW CONST,,606,608,"2,843.0",4.69,0,"1,355","1,355",223,38.3%,4,0,8,11-12,"204,530",4.70,"204,530",4.70,"45,023","4,301,454",22.01%,288,"$5,042,342","$1,808",$577,W 25TH ST CHELSEA PARK NINTH AVE TENTH AVE,MANHATTAN,4,10,"27, 31",75,03,7/15/1947,1972/06/29-FED TRAN,,,
NY005012920,001,337,370,370,NY005181A,FIRST HOUSES,FEDERAL,CONVENTIONAL,NEW CONST,,126,126,448.0,3.56,0,178,178,56,47.1%,8,0,8,4-5,"53,532",1.23,"53,532",1.23,"24,540","1,411,795",45.84%,145,"$1,384,643","$3,653",$500,E 2ND ST E 3RD ST AVENUE A FIRST AVE,MANHATTAN,3,12,26,74,02,5/31/1936,1972/06/29-FED TRAN,,YES,
NY005013090,309,309,341,341,NY005266,FORT WASHINGTON AVENUE REHAB,FEDERAL,TURNKEY,REHAB (ELD),,226,226,814.0,3.60,0,277,277,204,90.3%,1,0,2,7,"112,034",2.57,"112,034",2.57,"43,735","3,690,779",39.04%,108,"$16,237,236","$19,862",$327,RIVERSIDE DR W 163RD ST FT WASHINGTON AVE W 165TH ST,MANHATTAN,12,13,31,71,07,10/1/1985,,EXCLUSIVELY,YES,
NY005001360,136,136,252,252,NY005053,FULTON,FEDERAL,CONVENTIONAL,NEW CONST,,944,944,"4,223.0",4.47,0,"2,166","2,166",374,39.9%,11,1,12,6-25,"214,139",4.92,"214,139",4.92,"70,645","8,097,991",25.88%,440,"$20,727,847","$4,866",$678,W 16TH ST W 19TH ST NINTH AVE,MANHATTAN,4,10,27,75,03,3/31/1965,,,,
NY005011000,100,100,237,237,NY005032,GOMPERS,FEDERAL,CONVENTIONAL,NEW CONST,,472,474,"2,193.0",4.65,0,"1,067","1,067",205,44.2%,2,2,5,20,"161,016",3.70,"161,016",3.70,"24,555","4,083,496",15.25%,288,"$9,322,807","$4,240",$556,DELANCY ST PITT ST STANTON ST,MANHATTAN,3,7,26,74,02,4/30/1964,,,,
NY005010300,281,030,507,503,NY005210,GRAMPION,FEDERAL,CONVENTIONAL,REHAB,,35,35,155.5,4.44,0,67,67,8,24.2%,1,0,1,7,"7,144",0.16,"7,144",0.16,"5,000","377,500",69.99%,419,"$817,621","$5,094",$522,W 119TH ST SAINT NICHOLAS AVE,MANHATTAN,10,13,30,70,09,5/17/1977,,,YES,
NY005000870,087,087,232,232,NY005030,GRANT,FEDERAL,CONVENTIONAL,NEW CONST,,"1,939","1,940","9,133.5",4.71,0,"4,282","4,282",741,39.0%,9,1,10,13-21,"655,681",15.05,"655,681",15.05,"101,477","16,701,596",15.48%,285,"$28,783,425","$3,150",$565,W 125TH ST MORNINGSIDE AVE W 123RD ST BROADWAY,MANHATTAN,9,13,30,69,07,10/31/1957,,,,
NY005010220,262,022,377,377,NY005168,HARBORVIEW TERRACE,FEDERAL,TURNKEY,NEW CONST,,377,377,"1,493.5",3.96,0,648,648,241,65.0%,2,0,2,14-15,"120,497",2.77,"120,497",2.77,"22,666","3,139,759",18.81%,234,"$16,721,224","$10,911",$522,W 54TH ST W 56TH ST TENTH AVE ELEVENTH AVE,MANHATTAN,4,10,"27, 31",67,06,6/30/1977,,PARTIALLY,,
NY005010030,003,003,201,201,NY005042,HARLEM RIVER,FEDERAL,CONVENTIONAL,NEW CONST,,574,577,"2,231.0",3.89,0,"1,079","1,079",181,32.3%,7,0,47,4-5,"322,075",7.39,"313,137",7.19,"103,777","5,237,933",32.22%,146,"$4,147,782","$2,103",$548,MACOMBS PL HARLEM RIVER DR W 151ST ST W 153RD ST,MANHATTAN,10,13,30,71,09,10/1/1937,,,,
NY005010030,147,003,256,201,NY005051,HARLEM RIVER II,FEDERAL,CONVENTIONAL,NEW CONST,,116,116,515.0,4.44,0,272,272,40,36.0%,1,0,1,15,"28,815",0.66,"28,815",0.66,"7,281","981,227",25.27%,412,"$2,605,601","$5,059",$589,DOUGLASS BLVD W 152ND ST MACOMBS PL W 151ST ST,MANHATTAN,10,13,30,71,09,10/31/1965,,,,
NY005011000,184,100,286,237,NY005085,HERNANDEZ,FEDERAL,CONVENTIONAL,NEW CONST,,149,149,601.5,4.04,0,260,260,80,54.4%,1,0,1,17,"44,689",1.03,"44,689",1.03,"13,167","1,293,680",29.46%,252,"$3,731,491","$6,077",$524,ALLEN ST STANTON ST ELDRIDGE ST E HOUSTON ST,MANHATTAN,3,7,26,65,01,8/31/1971,,,,
NY005011390,159,139,277,253,NY005069,HOLMES TOWERS,FEDERAL,CONVENTIONAL,NEW CONST,,536,537,"2,070.0",3.86,0,941,941,257,48.1%,2,0,2,25,"122,341",2.81,"122,341",2.81,"19,872","3,893,920",16.24%,335,"$10,435,545","$4,952",$511,FIRST AVE ISAACS HOUSES FDR DRIVE E 92ND ST,MANHATTAN,8,12,28,68,05,4/30/1969,,,,
NY005011390,139,139,253,253,NY005057,ISAACS,FEDERAL,CONVENTIONAL,NEW CONST,,634,636,"2,638.0",4.16,0,"1,250","1,250",279,44.1%,3,1,4,24,"152,173",3.49,"152,173",3.49,"32,645","4,857,894",21.45%,358,"$13,251,410","$5,009",$556,E 93RD ST FIRST AVE FDR DRIVE,MANHATTAN,8,12,29,68,05,7/31/1965,,,,
NY005010640,064,064,219,219,NY005016,JEFFERSON,FEDERAL,CONVENTIONAL,NEW CONST,,"1,486","1,493","6,945.0",4.67,0,"3,314","3,314",570,38.7%,18,1,35,7-13-14,"757,179",17.38,"757,179",17.38,"149,778","13,032,612",19.78%,191,"$26,894,981","$3,854",$565,E 112TH ST THIRD AVE E 115TH ST FIRST AVE,MANHATTAN,11,13,30,68,08,8/28/1959,,,,
NY005000170,017,017,516,516,NY005213H,JOHNSON,FEDERAL,CONVENTIONAL,NEW CONST,,"1,296","1,310","6,121.0",4.72,0,"3,076","3,076",488,38.2%,10,0,17,14,"517,632",11.88,"456,630",10.48,"97,804","10,582,024",18.89%,259,"$14,348,000","$2,337",$573,E 112TH ST E 115TH ST THIRD AVE PARK AVE,MANHATTAN,11,13,30,68,08,12/27/1948,1977/07/01-ATP 1,,,
NY005010300,030,030,518,518,NY005213J,KING TOWERS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,377","1,379","6,342.5",4.61,0,"3,013","3,013",511,37.5%,10,0,10,13-14,"599,120",13.75,"555,560",12.75,"98,822","11,745,000",16.49%,219,"$19,859,000","$3,135",$559,W 112TH ST LENOX AVE W 115TH ST FIFTH AVE,MANHATTAN,10,13,30,68,09,11/1/1954,1977/07/01-ATP 1,,,
NY005010760,076,076,221,221,NY005021,LA GUARDIA,FEDERAL,CONVENTIONAL,NEW CONST,,"1,091","1,094","5,097.5",4.67,0,"2,458","2,458",488,45.0%,9,0,9,16,"469,672",10.78,"415,455",9.54,"63,621","8,909,852",13.55%,228,"$17,157,591","$3,356",$585,RUTGERS ST MADISON ST MONTGOMERY ST CHERRY ST,MANHATTAN,3,7,26,65,01,8/8/1957,,,,
NY005010760,152,076,262,221,NY005061,LA GUARDIA ADDITION,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,149,150,491.5,3.30,0,193,193,142,95.3%,1,0,1,16,"26,052",0.60,"26,052",0.60,"5,618","914,382",21.56%,322,"$2,876,132","$5,645",$297,CHERRY ST MADISON ST RUTGERS ST MONTGOMERY ST,MANHATTAN,3,7,26,65,01,8/31/1965,,EXCLUSIVELY,,
NY005001010,101,101,238,238,NY005033,LEHMAN VILLAGE,FEDERAL,CONVENTIONAL,NEW CONST,,617,622,"2,893.5",4.69,0,"1,477","1,477",237,38.5%,4,1,5,20,"177,426",4.07,"177,426",4.07,"28,904","5,367,611",16.29%,363,"$11,549,370","$3,959",$558,MADISON AVE PARK AVE E 106TH ST E 110TH ST,MANHATTAN,11,13,30,68,08,11/30/1963,,,,
NY005010620,050,062,374,217,NY005183C,LEXINGTON,FEDERAL,CONVENTIONAL,NEW CONST,,448,448,"1,901.0",4.24,0,817,817,209,47.1%,4,0,4,14,"151,467",3.48,"151,467",3.48,"35,222","3,879,000",23.25%,235,"$4,780,152","$2,515",$548,E 98TH ST THIRD AVE E 99TH ST PARK AVE,MANHATTAN,11,13,30,68,05,3/16/1951,1972/06/29-FED TRAN,,,
NY005000200,020,020,513,513,NY005213E,LINCOLN,FEDERAL,CONVENTIONAL,NEW CONST,,"1,280","1,286","6,099.0",4.76,0,"2,986","2,986",429,33.9%,14,0,20,6-14,"551,740",12.67,"508,561",11.67,"106,738","10,743,035",19.35%,236,"$14,324,000","$2,358",$517,E 132ND ST E 135TH ST FIFTH AVE PARK AVE,MANHATTAN,11,13,30,70,09,12/29/1948,1977/07/01-ATP 1,,,
NY005011000,326,100,784,784,NY005259,LOWER EAST SIDE I INFILL,FEDERAL,TURNKEY,NEW CONST,,189,189,777.5,4.11,0,361,361,105,56.8%,5,0,15,4-9,"86,078",1.98,"86,078",1.98,"37,227","1,657,278",43.25%,182,"$14,369,576","$18,482",$512,DELANCEY ST RIVINGTON ST FORSYTHE ST ELDRIDGE ST,MANHATTAN,3,7,26,65,01,6/1/1988,,PARTIALLY,YES,
NY005012920,337,337,783,555,NY005262,LOWER EAST SIDE II,FEDERAL,TURNKEY,NEW CONST,,188,188,848.0,4.51,0,433,433,74,40.0%,4,1,32,3,"167,568",3.85,"167,568",3.85,"59,808","1,622,292",35.69%,112,"$14,709,271","$17,346",$554,E 4TH & 5TH STS E 6TH ST AVENUES B & C AVENUE D,MANHATTAN,3,12,26,74,02,11/1/1988,,,YES,
NY005013590,364,359,548,840,NY005215,LOWER EAST SIDE III,FEDERAL,TURNKEY,NEW CONST,,56,56,280.0,5.00,0,173,173,15,26.8%,2,1,3,4,"42,733",0.98,"42,733",0.98,"22,801","596,573",53.36%,177,"$7,324,340","$26,158",$705,E 9TH ST AVENUE D E 8TH ST AVENUE C,MANHATTAN,3,12,27,74,02,4/30/1997,,,YES,YES
NY005012920,292,337,555,555,NY005233,LOWER EAST SIDE REHAB (GROUP 5),FEDERAL,TURNKEY,REHAB,,55,55,229.5,4.17,0,119,119,17,30.9%,2,0,2,6,"17,872",0.41,"17,872",0.41,"10,275","490,400",57.49%,290,"$4,322,735","$18,795",$643,AVENUE C E 6TH ST E 7TH ST,MANHATTAN,3,12,27,74,02,12/1/1986,,,YES,
NY005020810,081,081,429,429,NY005378,MANHATTANVILLE,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,204,"1,272","1,272","6,004.0",4.72,576,"2,405","2,981",494,39.5%,6,0,6,20,"538,367",12.36,"538,367",12.36,"83,754","11,967,873",15.56%,241,"$25,774,000","$4,306",$550,W 133RD ST BROADWAY AMSTERDAM AVE W 129TH ST,MANHATTAN,9,13,"30, 31",70,07,6/30/1961,,,,
NY005010810,296,081,557,558,NY005235,MANHATTANVILLE REHAB (GROUP 2),FEDERAL,CONVENTIONAL,REHAB,,46,46,187.0,4.07,0,87,87,21,45.7%,3,0,3,5-6,"11,843",0.27,"11,843",0.27,"8,099","434,570",68.39%,322,"$6,002,000","$32,096",$599,BROADWAY W 134TH ST AMSTERDAM AVE W 135TH ST,MANHATTAN,9,13,31,70,07,11/1/1988,,,YES,
NY005010810,297,081,558,558,NY005236,MANHATTANVILLE REHAB (GROUP 3),FEDERAL,CONVENTIONAL,REHAB,,51,51,220.5,4.32,0,115,115,17,33.3%,2,0,2,5-6,"13,988",0.32,"13,988",0.32,"9,930","547,624",70.99%,359,"$3,652,758","$16,603",$453,BROADWAY W 133RD ST AMSTERDAM AVE W 134TH ST,MANHATTAN,9,13,31,70,07,9/30/1983,,,YES,
NY005010030,344,003,754,754,NY005265,MARSHALL PLAZA,FEDERAL,TURNKEY,NEW CONST (ELD),,180,180,630.0,3.50,0,207,207,154,89.0%,1,0,1,13,"20,083",0.46,"20,083",0.46,"10,354","1,181,481",51.56%,450,"$12,233,985","$19,419",$307,BROADWAY W 158TH ST AMSTERDAM AVE W 157TH ST,MANHATTAN,12,13,31,71,07,6/30/1986,,EXCLUSIVELY,YES,
NY005011000,183,100,286,237,NY005085,MELTZER TOWER,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,229,231,686.5,3.00,0,247,247,199,89.6%,1,0,1,20,"50,180",1.15,"50,180",1.15,"6,910","1,316,253",13.77%,215,"$5,622,697","$7,487",$290,E 1ST ST FIRST AVE E 2ND ST AVENUE A,MANHATTAN,3,12,26,65,02,8/31/1971,,EXCLUSIVELY,,
NY005010090,181,112,284,284,NY005092,METRO NORTH PLAZA,FEDERAL,CONVENTIONAL,NEW CONST,,271,275,"1,301.5",4.80,0,643,643,112,41.6%,3,0,3,7-8-11,"99,827",2.29,"99,827",2.29,"34,752","2,668,090",34.81%,281,"$6,733,865","$5,105",$574,E 101ST ST FIRST AVE E 102ND ST SECOND AVE,MANHATTAN,11,13,29,68,08,8/31/1971,,,,
NY005012410,277,241,504,346,NY005200,MORRIS PARK SENIOR CITIZENS HOME,FEDERAL,CONVENTIONAL,REHAB (ELD),,97,97,296.5,3.06,0,103,103,83,86.5%,1,0,1,9,"10,000",0.23,"10,000",0.23,"6,491","561,310",64.91%,448,"$1,989,852","$6,337",$302,E 124TH ST MADISON AVE FIFTH AVE,MANHATTAN,11,13,30,68,09,4/30/1977,,EXCLUSIVELY,YES,
NY005012410,204,241,321,346,NY005127,"PARK AVENUE-EAST 122ND, 123RD STREETS",FEDERAL,TURNKEY,NEW CONST,,90,90,419.0,4.66,0,205,205,37,42.0%,2,1,2,6,"32,127",0.74,"32,127",0.74,"14,614","950,094",45.49%,277,"$2,101,938","$5,017",$542,E 122ND ST PARK AVE E 123RD ST LEXINGTON AVE,MANHATTAN,11,13,30,68,09,3/31/1970,,,,
NY005001490,149,149,260,260,NY005062,POLO GROUNDS TOWERS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,614","1,614","7,682.0",4.76,0,"3,941","3,941",581,36.5%,4,4,12,30,"659,780",15.15,"659,780",15.15,"83,689","14,904,498",12.68%,260,"$32,292,784","$4,190",$545,DOUGLASS BLVD W 155TH ST HARLEM RIVER DR,MANHATTAN,10,13,30,71,09,6/30/1968,,,,
NY005011110,340,111,774,774,NY005260,PUBLIC SCHOOL 139 (CONVERSION),FEDERAL,TURNKEY,REHAB (ELD),,125,125,423.5,3.39,0,140,140,100,81.3%,1,0,2,5,"64,945",1.49,"64,945",1.49,"26,325","2,943,660",40.53%,94,"$7,898,759","$18,348",$393,"W 139,140TH STS POWELL BLVD LENOX AVE",MANHATTAN,10,13,30,70,09,10/8/1986,,EXCLUSIVELY,YES,
NY005000370,037,037,317,317,NY005114E,RANGEL,FEDERAL,CONVENTIONAL,NEW CONST,,982,984,"4,515.0",4.60,0,"2,141","2,141",339,35.7%,8,0,9,14,"475,672",10.92,"475,672",10.92,"71,671","7,911,809",15.07%,196,"$10,613,000","$2,373",$573,HARLEM RIVER DR POLO GROUNDS TOWERS HARLEM RIVER DRIVEWAY,MANHATTAN,10,13,30,71,09,10/8/1951,1968/08/29-FED TRAN,,,
NY005013170,515,359,"255 - BLDGS 2-4, 299 - BLDG 1",255,"NY005076A - BLDG 3-4, NY005076B - BLDGS 2, NY005076C - BLDG 1",REHAB PROGRAM (DOUGLASS REHABS),FEDERAL,CONVENTIONAL,REHAB,,112,112,413.0,3.69,0,182,182,43,38.4%,4,0,9,3-6-7,"24,462",0.56,"24,462",0.56,"16,326","1,247,684",66.74%,325,,,$543,W 104TH ST BROADWAY W 101ST ST WEST END AVE,MANHATTAN,7,10,31,69,06,1/31/1964,,,,YES
NY005013170,516,359,"295 - BLDG 1, 293 - BLDGS 2,3 292 - BLDG 4",295,"NY005076G - BLDG 1, NY005076I - BLDG 2, 3,  NY005076J - BLDG 4",REHAB PROGRAM (TAFT REHABS),FEDERAL,CONVENTIONAL,REHAB,,156,156,602.0,3.86,0,290,290,44,28.4%,4,0,4,7,"27,171",0.62,"27,171",0.62,"22,914","1,809,773",84.33%,468,,,$540,SAINT NICHOLAS AVE W 119TH ST LENOX AVE W 112TH ST,MANHATTAN,10,13,30,70,09,1/31/1964,,,,YES
NY005011270,517,127,298,259,NY005076D,REHAB PROGRAM (WISE REHAB),FEDERAL,CONVENTIONAL,REHAB,,40,40,159.0,3.98,0,67,67,18,45.0%,1,0,1,5,"10,071",0.23,"10,071",0.23,"7,367","472,901",73.15%,291,,,$628,COLUMBUS AVE W 94TH ST CENTRAL PARK WEST W 93RD ST,MANHATTAN,7,10,30,69,06,1/31/1964,,,,
NY005010180,018,018,210,210,NY005008,RIIS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,191","1,191","5,666.5",4.76,0,"2,715","2,715",464,39.8%,13,0,18,6-13-14,"510,926",11.73,"510,926",11.73,"103,446","9,657,260",20.25%,231,"$13,510,289","$2,411",$595,FDR DR AVENUE D E 8TH ST E 13TH ST,MANHATTAN,3,7,27,74,02,1/17/1949,,,,
NY005010180,019,018,372,210,NY005181D,RIIS II,FEDERAL,CONVENTIONAL,NEW CONST,,577,578,"2,720.5",4.71,0,"1,271","1,271",244,42.6%,6,0,8,6-13-14,"258,562",5.94,"258,562",5.94,"43,916","4,497,120",16.98%,214,"$6,339,520","$2,344",$542,FDR DR AVENUE D EAST 6TH ST EAST 8TH ST,MANHATTAN,3,7,27,74,02,1/31/1949,1972/06/29-FED TRAN,,,
NY005011390,218,139,329,253,NY005151,ROBBINS PLAZA,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,150,150,470.0,3.13,0,160,160,136,91.9%,1,0,1,20,"12,553",0.29,"12,553",0.29,"6,773","974,866",53.96%,552,"$4,855,905","$9,568",$340,E 70TH ST FIRST AVE E 71ST ST SECOND AVE,MANHATTAN,8,12,28,76,05,2/28/1975,,EXCLUSIVELY,,
NY005012410,241,241,346,346,NY005173,ROBINSON,FEDERAL,TURNKEY,NEW CONST,,188,189,834.0,4.44,0,421,421,70,37.6%,1,0,2,8,"64,945",1.49,"64,945",1.49,"22,776","1,802,766",35.07%,283,"$5,990,000","$7,068",$565,E 128TH ST E 129TH ST LEXINGTON AVE PARK AVE,MANHATTAN,11,13,30,68,09,5/31/1973,,,,
NY005020990,099,099,439,439,NY005382,RUTGERS,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,102,721,721,"3,358.5",4.66,260,"1,325","1,585",343,48.0%,5,0,5,20,"227,341",5.22,"227,341",5.22,"39,355","5,936,573",17.31%,304,"$14,090,000","$4,277",$544,CHERRY ST PIKE ST MADISON ST RUTGERS ST,MANHATTAN,3,7,26,65,01,3/31/1965,,,,
NY005000380,038,038,211,211,NY005010,SAINT NICHOLAS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,525","1,526","7,109.5",4.66,0,"3,426","3,426",533,35.8%,13,0,14,14,"680,670",15.63,"625,559",14.36,"105,458","13,112,212",15.49%,219,"$20,560,063","$2,891",$529,W 127TH ST DOUGLASS BLVD POWELL BLVD W 131ST ST,MANHATTAN,10,13,30,70,09,9/30/1954,,,,
NY005023770,377,377,650,650,NY005375,SAMUEL (CITY),MIXED FINANCE/LLC1,CONVENTIONAL,REHAB,105,664,664,"2,824.0",4.25,241,"1,171","1,412",173,26.5%,40,2,43,5-6-7,"201,872",4.63,"201,872",4.63,"116,528","7,142,241",57.72%,305,$0,,$660,LENOX AVE W 139TH ST W 147TH ST AC POWELL BLVD,MANHATTAN,10,13,30,"70, 71",09,8/31/1994,,,YES,
NY005013170,389,359,847,847,NY005335,SAMUEL (MHOP) I,MHOP,CONVENTIONAL,REHAB,,24,53,108.0,4.50,0,38,38,10,41.7%,5,0,5,5,"13,819",0.32,"13,819",0.32,"11,274","607,774",81.58%,119,"$4,630,200","$19,661",$800,W 139TH ST AC POWELL BLVD W 141ST ST LENOX AVE,MANHATTAN,10,13,30,70,09,1/31/1994,,,YES,YES
NY005013170,398,359,871,871,NY005345,SAMUEL (MHOP) II,MHOP,CONVENTIONAL,REHAB,,4,10,20.0,5.00,0,12,12,0,0.0%,1,0,1,5,"3,098",0.07,"3,098",0.07,"2,326","114,675",75.08%,171,"$967,700","$20,160","$1,036",AC POWELL BLVD W 139TH ST LENOX AVE,MANHATTAN,10,13,30,70,09,7/31/1993,,,YES,YES
NY005013170,399,359,483,483,NY005359,SAMUEL (MHOP) III,MHOP,CONVENTIONAL,REHAB,,1,10,4.5,4.50,0,3,3,0,0.0%,1,0,1,5,"5,396",0.12,"5,396",0.12,"1,599","114,675",29.63%,25,"$887,005","$20,159","$1,431",AC POWELL BLVD W 142ND ST LENOX AVE,MANHATTAN,10,13,30,71,09,6/30/1995,,,YES,YES
NY005011000,192,100,312,312,NY005100,SEWARD PARK EXTENSION,FEDERAL,CONVENTIONAL,NEW CONST,,360,360,"1,591.0",4.42,0,796,796,146,41.2%,2,2,5,23,"90,637",2.08,"90,637",2.08,"23,922","3,370,430",26.39%,383,"$11,871,465","$7,394",$511,BROOME ST NORFOLK ST GRAND ST ESSEX ST,MANHATTAN,3,12,26,65,01,10/31/1973,,,,
NY005000270,027,027,531,531,NY005220B,SMITH,FEDERAL,CONVENTIONAL,NEW CONST,,"1,934","1,935","8,988.0",4.65,0,"4,126","4,126",923,48.1%,12,0,12,17,"947,493",21.75,"806,175",18.51,"126,462","15,937,490",13.35%,190,"$29,083,000","$3,270",$551,MADISON ST CATHERINE ST SOUTH ST SAINT JAMES PL,MANHATTAN,3,7,26,65,01,4/27/1953,1978/07/01-ATP 3,,,
NY005013590,559,359,841,840,NY005326,STANTON STREET,FEDERAL,TURNKEY,NEW CONST,,13,13,66.5,5.12,0,35,35,2,15.4%,1,0,1,6,"5,000",0.11,"5,000",0.11,"3,600",,72.00%,318,"$4,561,538","$68,595",$468,ATTORNEY ST STANTON ST RIDGE ST,MANHATTAN,3,12,26,65,01,12/1/2003,,,YES,YES
